Symbol,Date,High,Low,Open,Close,Volume,Marketcap
BTC,2013-04-29 23:59:59,147.488006591797,134,134.444000244141,144.539993286133,0,1603768864.5
BTC,2013-04-30 23:59:59,146.929992675781,134.050003051758,144,139,0,1542813125
BTC,2013-05-01 23:59:59,139.889999389648,107.720001220703,139,116.98999786377,0,1298954593.75
BTC,2013-05-02 23:59:59,125.599998474121,92.2818984985352,116.379997253418,105.209999084473,0,1168517495.25
BTC,2013-05-03 23:59:59,108.127998352051,79.0999984741211,106.25,97.75,0,1085995168.75
BTC,2013-05-04 23:59:59,115,92.5,98.0999984741211,112.5,0,1250316562.5
BTC,2013-05-05 23:59:59,118.800003051758,107.142997741699,112.900001525879,115.910003662109,0,1288693175.5
BTC,2013-05-06 23:59:59,124.66300201416,106.639999389648,115.980003356934,112.300003051758,0,1249023060
BTC,2013-05-07 23:59:59,113.444000244141,97.6999969482422,112.25,111.5,0,1240593600
BTC,2013-05-08 23:59:59,115.779998779297,109.599998474121,109.599998474121,113.56600189209,0,1264049202.15
BTC,2013-05-09 23:59:59,113.459999084473,109.26000213623,113.199996948242,112.669998168945,0,1254535382
BTC,2013-05-10 23:59:59,122,111.551002502441,112.799003601074,117.199996948242,0,1305479080
BTC,2013-05-11 23:59:59,118.679000854492,113.01000213623,117.699996948242,115.24299621582,0,1284207489.42
BTC,2013-05-12 23:59:59,117.448997497559,113.434997558594,115.639999389648,115,0,1281982625
BTC,2013-05-13 23:59:59,118.698997497559,114.5,114.819999694824,117.980003356934,0,1315710010.5
BTC,2013-05-14 23:59:59,119.800003051758,110.25,117.980003356934,111.5,0,1243874487.5
BTC,2013-05-15 23:59:59,115.809997558594,103.5,111.400001525879,114.220001220703,0,1274623812.5
BTC,2013-05-16 23:59:59,118.76000213623,112.199996948242,114.220001220703,118.76000213623,0,1325726787
BTC,2013-05-17 23:59:59,125.300003051758,116.570999145508,118.209999084473,123.014999389648,0,1373723881.88
BTC,2013-05-18 23:59:59,125.25,122.300003051758,123.5,123.498001098633,0,1379574545.85
BTC,2013-05-19 23:59:59,124.5,119.570999145508,123.210998535156,121.98999786377,0,1363204702.75
BTC,2013-05-20 23:59:59,123.621002197266,120.120002746582,122.5,122,0,1363709900
BTC,2013-05-21 23:59:59,123,121.209999084473,122.019996643066,122.879997253418,0,1374013440
BTC,2013-05-22 23:59:59,124.000999450684,122,122.889999389648,123.888999938965,0,1385778992.85
BTC,2013-05-23 23:59:59,126.93399810791,123.099998474121,123.800003051758,126.699996948242,0,1417769832.5
BTC,2013-05-24 23:59:59,133.850006103516,125.71900177002,126.300003051758,133.199996948242,0,1491070770
BTC,2013-05-25 23:59:59,133.218994140625,128.899993896484,133.100006103516,131.979995727539,0,1477958233
BTC,2013-05-26 23:59:59,136,130.615005493164,131.985992431641,133.479995727539,0,1495293015
BTC,2013-05-27 23:59:59,135.464996337891,124.699996948242,133.5,129.744995117188,0,1454029509.62
BTC,2013-05-28 23:59:59,130.580001831055,125.599998474121,129.770004272461,129,0,1446189975
BTC,2013-05-29 23:59:59,132.589996337891,127.662002563477,129,132.300003051758,0,1483734577.5
BTC,2013-05-30 23:59:59,132.25,127,132.25,128.79899597168,0,1445053940.55
BTC,2013-05-31 23:59:59,129.899993896484,126.400001525879,128.79899597168,129,0,1447870200
BTC,2013-06-01 23:59:59,129.779998779297,127.198997497559,128.815002441406,129.300003051758,0,1451916165
BTC,2013-06-02 23:59:59,129.399993896484,115.050003051758,129.300003051758,122.291999816895,0,1373837499.9
BTC,2013-06-03 23:59:59,122.5,116,122.5,122.22200012207,0,1373708057.9
